RETURN_TO_CONTENTS,UNNAMED:_2,UNNAMED:_3,UNNAMED:_4,UNNAMED:_5,UNNAMED:_6,UNNAMED:_7,UNNAMED:_8,UNNAMED:_9,UNNAMED:_10,UNNAMED:_11,UNNAMED:_12,UNNAMED:_13,UNNAMED:_14,UNNAMED:_15,SOURCE_SHEET,LOAD_TIMESTAMP
Operational Electricity Generation Capacity by Plant Types (MW)1,,,,,,,,,,,,,,,7 - Plant type (MW),2025-08-01 08:34:55.972531
Year End,Electricity Only Plants,,,,,,,,,,Cogeneration,,,Total,7 - Plant type (MW),2025-08-01 08:34:55.972531
,Hydro,Geothermal,Biogas,Wind,Solar PV,Diesel,Coal/Gas,Gas,Other Thermal2,Sub-total,Gas3,Other4,Sub-total,,7 - Plant type (MW),2025-08-01 08:34:55.972531
1976,3665.27,173,0,0,0,0,210,400,840,5288.27,0,97.6441210045662,97.6441210045662,5385.91412100457,7 - Plant type (MW),2025-08-01 08:34:55.972531
1977,3825.27,173,0,0,0,0,210,446.75,840,5495.02,0,97.6441210045662,97.6441210045662,5592.66412100457,7 - Plant type (MW),2025-08-01 08:34:55.972531
1978,3825.27,173,0,0,0,0,210,493.5,840,5541.77,0,97.6441210045662,97.6441210045662,5639.41412100457,7 - Plant type (MW),2025-08-01 08:34:55.972531
1979,4089.27,173,0,0,0,220,210,493.5,1090,6275.77,0,98.1578196347032,98.1578196347032,6373.9278196347,7 - Plant type (MW),2025-08-01 08:34:55.972531
1980,4301.27,173,0,0,0,220,210,493.5,1090,6487.77,0,98.3290525114155,98.3290525114155,6586.09905251142,7 - Plant type (MW),2025-08-01 08:34:55.972531
1981,4326.27,173,0,0,0,220,210,493.5,1090,6512.77,0,117,117,6629.77,7 - Plant type (MW),2025-08-01 08:34:55.972531
1982,4328.27,157.2,0,0,0,220,210,493.5,1090,6498.97,0,116.611301369863,116.611301369863,6615.58130136986,7 - Plant type (MW),2025-08-01 08:34:55.972531
1983,4474.22,157.2,0,0,0,220,460,493.5,1090,6894.92,0,116.919520547945,116.919520547945,7011.83952054795,7 - Plant type (MW),2025-08-01 08:34:55.972531
1984,4543.22,157.2,0,0,0,220,960,493.5,1090,7463.92,0,117.022260273973,117.022260273973,7580.94226027397,7 - Plant type (MW),2025-08-01 08:34:55.972531
1985,4760.22,157.2,0,0,0,220,1210,493.5,1090,7930.92,0,117.022260273973,117.022260273973,8047.94226027397,7 - Plant type (MW),2025-08-01 08:34:55.972531
1986,4760.22,157.2,0,0,0,220,1210,493.5,1090,7930.92,0,117.022260273973,117.022260273973,8047.94226027397,7 - Plant type (MW),2025-08-01 08:34:55.972531
1987,4760.22,157.2,0,0,0,220,1210,493.5,1090,7930.92,0,117.092251712329,117.092251712329,8048.01225171233,7 - Plant type (MW),2025-08-01 08:34:55.972531
1988,4760.22,175,0,0,0,220,1210,313.5,1090,7768.72,0,117.115582191781,117.115582191781,7885.83558219178,7 - Plant type (MW),2025-08-01 08:34:55.972531
1989,4760.22,261,0,0,0,220,1210,313.5,1090,7854.72,0,117.115582191781,117.115582191781,7971.83558219178,7 - Plant type (MW),2025-08-01 08:34:55.972531
1990,4760.22,261,3.5445205479452,0,0,220,1210,313.5,1090,7858.26452054795,0,117.115582191781,117.115582191781,7975.38010273973,7 - Plant type (MW),2025-08-01 08:34:55.972531
1991,4760.22,261,7,0,0,220,1000,313.5,1090,7651.72,0,117.115582191781,117.115582191781,7768.83558219178,7 - Plant type (MW),2025-08-01 08:34:55.972531
1992,5192.22,261,7.08904109589041,0,0,220,1000,313.5,850,7843.80904109589,0,117.115582191781,117.115582191781,7960.92462328767,7 - Plant type (MW),2025-08-01 08:34:55.972531
1993,5192.22,261,7.08904109589041,0.225,0,220,1000,313.5,850,7844.03404109589,0,117.115582191781,117.115582191781,7961.14962328767,7 - Plant type (MW),2025-08-01 08:34:55.972531
1994,5192.22,265,7.08904109589041,0.225,0,220,1000,313.5,850,7848.03404109589,0,118.078767123288,118.078767123288,7966.11280821918,7 - Plant type (MW),2025-08-01 08:34:55.972531
1995,5192.22,265,8.21190068493151,0.225,0,220,1000,313.5,850,7849.15690068493,0,124.362371575342,124.362371575342,7973.51927226027,7 - Plant type (MW),2025-08-01 08:34:55.972531
1996,5192.22,248,11,4.075,0,220,1000,313.5,600,7588.795,0,119,119,7707.795,7 - Plant type (MW),2025-08-01 08:34:55.972531
1997,5192.22,318,11,4.075,0,0.325,1000,220,600,7345.62,0,119,119,7464.62,7 - Plant type (MW),2025-08-01 08:34:55.972531
1998,5192.22,328,11,4.075,0,0.325,1000,357,480,7372.62,0,119,119,7491.62,7 - Plant type (MW),2025-08-01 08:34:55.972531
1999,5199.22,353,11,35.755,0,0.325,1000,737,440,7776.3,0,114,114,7890.3,7 - Plant type (MW),2025-08-01 08:34:55.972531
2000,5202.22,365,11,35.755,0,0.325,1000,737,440,7791.3,0,119.42,119.42,7910.72,7 - Plant type (MW),2025-08-01 08:34:55.972531
2001,5202.22,365,11,35.755,0,0.325,1000,737,440,7791.3,0,119.42,119.42,7910.72,7 - Plant type (MW),2025-08-01 08:34:55.972531
2002,5364.77,363.8,14.08,53.425,0,0.598,1000,737,440,7973.673,344.137,251.752414976251,595.889414976251,8569.56241497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2003,5365.22,373.8,21.53,72.225,0,0.598,1000,737,440,8010.373,334.185,251.758414976251,585.943414976251,8596.31641497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2004,5366.265,373.8,22.43,165.525,0,161.61984,1000,777,440,8306.63984,334.185,251.758414976251,585.943414976251,8892.58325497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2005,5366.715,429.2,22.43,168.025,0,161.94016,1000,821,330,8299.31016,337.715,266.658414976251,604.373414976251,8903.68357497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2006,5366.49,429.2,23.23,169.025,0,161.94016,1000,831.9,330,8311.78516,337.715,267.288414976251,605.003414976251,8916.78857497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2007,5366.97,448.2,24.78,320.025,2.72696328136754,161.94016,1000,1216.9,330,8871.54212328137,328.715,269.318414976251,598.033414976251,9469.57553825762,7 - Plant type (MW),2025-08-01 08:34:55.972531
2008,5389.64,569.7,26.78,321.525,2.76677296430721,162.04016,1000,1229.02,100,8801.47193296431,333.54,269.118414976251,602.658414976251,9404.13034794056,7 - Plant type (MW),2025-08-01 08:34:55.972531
2009,5337.6,609.3,29.86,512.875,2.87425910824432,162.33136,1000,1221.02,0,8875.86061910824,298.88,260.718414976251,559.598414976251,9435.4590340845,7 - Plant type (MW),2025-08-01 08:34:55.972531
2010,5332.25,733.7,30.08,540.375,3.06534558635475,163.13136,1000,1208.22,0,9010.82170558636,326.94,261.168414976251,588.108414976251,9598.93012056261,7 - Plant type (MW),2025-08-01 08:34:55.972531
2011,5407.225,733.7,32.16,623.125,3.30420368399278,172.13136,1000,1408.22,0,9379.86556368399,326.94,260.938414976251,587.878414976251,9967.74397866024,7 - Plant type (MW),2025-08-01 08:34:55.972531
2012,5421.2,759.7,32.16,623.125,3.86153924514819,180.17136,750,1508.22,0,9278.43789924515,326.94,260.938414976251,587.878414976251,9866.3163142214,7 - Plant type (MW),2025-08-01 08:34:55.972531
2013,5435.2,831.9,32.16,623.125,8.581,180.17136,500,1508.22,0,9119.35736,326.94,258.838414976251,585.778414976251,9705.13577497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2014,5435.1,957.9,36.06,682.475,22.046,180.17136,500,1510.22,0,9323.97236,326.94,258.838414976251,585.778414976251,9909.75077497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2015,5435.1,981.71,37.08,689.05,37.256,180.17136,500,1130.22,0,8990.58736,326.94,258.838414976251,585.778414976251,9576.36577497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2016,5435.1,976.91,33.46,689.95,53.079,180.13836,500,1130.22,0,8998.85736,156.94,258.838414976251,415.778414976251,9414.63577497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2017,5435.1,976.91,32.54,691.14,70.662,180.13836,500,1130.22,0,9016.71036,156.94,263.288414976251,420.228414976251,9436.93877497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2018,5435.1,1000.91,32.54,691.14,91.352,183.13836,500,1130.22,0,9064.40036,156.94,263.288414976251,420.228414976251,9484.62877497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2019,5443.1,1000.91,32.54,691.14,114.586,183.13836,500,1130.22,0,9095.63436,156.94,263.288414976251,420.228414976251,9515.86277497625,7 - Plant type (MW),2025-08-01 08:34:55.972531
2020,5442.455,1035.01,32.6,691.14,145.158,191.13836,500,1230.22,0,9267.72136,158.84,257.216,416.056,9683.77736,7 - Plant type (MW),2025-08-01 08:34:55.972531
2021,5442.455,1035.01,32.6,914.44,191.992,191.13836,500,1230.22,0,9537.85536,158.84,257.216,416.056,9953.91136,7 - Plant type (MW),2025-08-01 08:34:55.972531
2022,5501.255,1042.1,32.6,947.64,262.353,191.13836,500,1245.22,0,9722.30636,160.04,257.216,417.256,10139.56236,7 - Plant type (MW),2025-08-01 08:34:55.972531
2023,5501.255,1042.1,32.6,1046.44,371.761,192.49836,500,1245.22,,9931.87436,160.04,257.216,417.256,10349.13036,7 - Plant type (MW),2025-08-01 08:34:55.972531
∆2019/2023 p.a.,0.002660406748603572,0.010133075862798213,0.00046065271333128877,0.10926950993733708,0.3420944088985196,0.012539392452194376,0,0.024520787906485042,,0.022232197350338545,0.00490203015092483,-0.005816485213158695,-0.0017730428795462716,0.021207326004683225,7 - Plant type (MW),2025-08-01 08:34:55.972531
∆2022/2023,0,0,0,0.10425900130851384,0.41702591546504153,0.007115264565417334,0,0,,0.021555379170339117,0,0,0,0.02066834766229486,7 - Plant type (MW),2025-08-01 08:34:55.972531
Notes,,,,,,,,,,,,,,,7 - Plant type (MW),2025-08-01 08:34:55.972531
1 All capacities are net of any plant decommissioning. ,,,,,,,,,,,,,,,7 - Plant type (MW),2025-08-01 08:34:55.972531
"2 'Other Thermal' in this instance includes generation by all major coal only (Meremere), fuel oil only (Marsden A and B), and gas/fuel oil plants (New Plymouth).",,,,,,,,,,,,,,,7 - Plant type (MW),2025-08-01 08:34:55.972531
3 Plants that run solely on natural gas are listed under 'gas'. Multi fuelled plants that run partly on natural gas are listed under 'other'. ,,,,,,,,,,,,,,,7 - Plant type (MW),2025-08-01 08:34:55.972531
"4 Includes cogeneration by some multi fuel or single fuel biomass, coal, liquid fuel and geothermal plants. It also includes multi fuelled plants running partly on natural gas.",,,,,,,,,,,,,,,7 - Plant type (MW),2025-08-01 08:34:55.972531
n.a. = Not applicable,,,,,,,,,,,,,,,7 - Plant type (MW),2025-08-01 08:34:55.972531
