CALENDAR_YEAR,HYDRO_GWH,GEOTHERMAL_GWH,BIOGAS_GWH,WIND_GWH,SOLAR_PV_GWH,OIL_GWH,COAL_GWH,GAS_GWH,ELECTRICITY_ONLY_SUBTOTAL_GWH,COGENERATION_GWH,TOTAL_GENERATION_GWH,RENEWABLE_GWH,FOSSIL_FUEL_GWH,RENEWABLE_PERCENTAGE,FOSSIL_FUEL_PERCENTAGE,SOURCE_SHEET,LOAD_TIMESTAMP
2005,23094.278683,2922.018091,125.933184,608.242102,0.0,3.58849039345589,4866.998,6807.67117660654,34585.8567543,3842.8729727,38428.729727,26750.472060000004,11678.257666999994,69.61,30.39,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2006,23337.486814,3125.030477,145.761748,615.9945918,0.0,22.5927405170901,4535.59893785561,7364.3668106273,35232.14890782,3914.6832119800006,39146.832119800005,27224.273630800002,11922.558489,69.54,30.46,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2007,23404.094284,3304.657219,144.097992,920.581417,3.37183555814533,1.24419044310798,2354.12863602754,9230.30782752935,35426.23506140233,3936.2483401558147,39362.483401558144,27776.802747558144,11585.680653999998,70.57,29.43,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2008,22123.864422374,3917.0518429,139.62806425,1047.8734501575,3.42105943490658,123.848105714085,3942.64540633161,8001.7874892043,35370.10785632976,3930.0119840366406,39300.1198403664,27231.838839116404,12068.281001249994,69.29,30.71,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2009,23975.2687442967,4538.50379047,146.93146625,1461.69646816979,3.55396390216194,9.01775187122469,2528.47893305586,7030.5123720408,35724.56714105088,3969.396349005654,39693.963490056536,30125.954433088653,9568.009056967885,75.9,24.1,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2010,24479.2393667602,5507.24036492,151.846468775,1619.91708325574,3.79023851061592,2.04219149679114,1300.01275177854,7820.74155748675,36796.34702068527,4088.4830022983633,40884.83002298363,31762.033522221554,9122.79650076208,77.69,22.31,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2011,24859.560807501,5830.8529082,158.713062425,1936.46407037879,4.08558177118339,2.08233166508187,1476.94175330668,6503.89971375138,36695.3402060992,4077.260022899911,40772.60022899911,32789.67643027597,7982.923798723142,80.42,19.58,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2012,22667.6906094457,6029.6567882,153.03586925,2057.22147420559,4.77471604584083,3.42934341611092,2720.47623472403,6834.24148649597,36423.473869604924,4047.052652178325,40470.52652178325,30912.379457147137,9558.14706463611,76.38,23.62,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2013,22798.7847568645,6385.01855575,141.591336725,2000.4685526803,6.64077283781216,3.39501283728202,1618.73529461135,6842.13663713865,35817.09382750041,3979.67709194449,39796.7709194449,31332.503974857613,8464.266944587282,78.73,21.27,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2014,24074.8805683195,7128.16076845,164.8169513675,2188.81575967279,18.6249896840086,3.0853031293111,1227.7930038814,5326.5565533686,36119.460508085795,4013.273389787311,40132.733897873106,33575.299037493794,6557.434860379311,83.66,16.34,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2015,24284.6453987755,7681.6493689,175.5063067925,2340.4886331157,36.4625680328905,1.25150417403557,1133.74091732243,5192.19139541827,36761.3424832782,4084.5936092531333,40845.93609253133,34518.75227561659,6327.183816914736,84.51,15.49,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2016,25675.6987779812,7670.9588467,186.080015206589,2317.35780358087,56.1786590471279,2.87115380539801,403.903546890952,4512.42880910905,36742.92985108907,4082.5477612321192,40825.47761232119,35906.27410251579,4919.2035098054,87.95,12.05,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2017,24924.095793828,7712.15798198,195.567800143704,2070.13853946231,76.3238751308513,5.26745787774179,516.85371672465,5604.22864527535,36994.17042938034,4110.46338104226,41104.6338104226,34978.28399054486,6126.3498198777415,85.1,14.9,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2018,25992.0335616467,7675.29175054,196.377945959349,2047.2860763822,99.6561236797122,10.6628431981363,890.600175620614,4450.15435887939,37225.8565523155,4136.206283590611,41362.06283590611,36010.64545820797,5351.417377698141,87.06,12.94,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2019,25342.6657450515,7737.36039730933,202.93470735335,2233.11077627693,126.623966970251,3.68482887822009,1463.13658388966,4545.46113355369,37489.48032535464,4165.497813928293,41654.97813928293,35642.69559296136,6012.28254632157,85.57,14.43,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2020,24023.9254729484,7778.08118159644,209.8888857085,2286.06653482581,159.504285558059,12.7980583590871,1575.53416891155,5060.30519144369,36995.49340141639,4110.610377935154,41106.10377935154,34457.46636063721,6648.637418714327,83.83,16.17,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2021,23992.385725084,7917.79390177109,203.0858135613,2617.91434810107,208.366983697126,25.5664006899749,2376.78241315949,3800.56324644251,37028.2129492559,4114.245883250655,41142.458832506556,34939.546772214584,6202.912060291975,84.92,15.08,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2022,26013.4440191279,7983.58961862155,204.00514761,2837.00104868755,282.734939795601,6.79836075425969,671.816005945979,3521.83884321402,37369.105185381166,4152.122798375685,41521.22798375685,37320.77477384259,4200.453209914259,89.88,10.12,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
2023,26308.9113893037,7708.99325965738,212.719775205,3206.01111227636,371.105973178124,4.47699277050883,504.653522411173,3470.91119152553,37609.004894695,4178.778321632777,41787.78321632777,37807.74150962056,3980.0417067072117,90.48,9.52,6 - Fuel type (GWh),2025-08-01 09:04:46.370692
